time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
49429400,-0.013,-0.007,1.13,59.447,-40.092,-10.727
49429410,-0.012,0.005,1.142,63.455,-40.495,-9.38
49429420,0.001,0.058,1.142,63.192,-37.992,-7.577
49429420,0.017,0.104,1.12,58.345,-37.572,-6.16
49429440,0.07,0.143,1.125,51.975,-35.245,-6.51
49429440,0.11,0.159,1.117,37.975,-29.26,-4.532
49429460,0.086,0.13,1.127,19.705,-23.607,-4.462
49429460,0.139,0.082,1.093,6.282,-14.245,-11.34
49429480,0.156,0.058,1.076,0.385,-2.66,-15.995
49429480,0.086,0.057,1.066,-5.127,8.452,-18.007
49429490,0.041,0.045,1.043,-10.517,16.87,-22.732
49429500,0.007,0.014,1.006,-13.23,22.382,-28.595
49429510,-0.036,0.006,0.98,-11.707,22.977,-34.107
49429520,-0.1,0.008,0.97,-7.962,19.11,-35.997
49429530,-0.165,0.016,0.958,-2.922,8.995,-36.715
49429540,-0.171,0.016,0.95,1.557,-4.252,-39.2
49429550,-0.189,-0.002,0.957,5.372,-20.125,-42.682
49429560,-0.204,-0.011,0.956,7.035,-35.525,-46.077
49429570,-0.194,-0.028,0.967,8.4,-50.645,-49.945
49429580,-0.175,-0.041,0.987,8.557,-61.162,-53.375
49429590,-0.147,-0.055,0.994,6.737,-67.795,-57.505
49429600,-0.11,-0.093,0.999,7.245,-69.23,-60.62
49429610,-0.056,-0.143,1.012,13.037,-67.742,-59.325
49429620,-0.02,-0.173,1.016,24.132,-62.282,-48.335
49429630,-0.036,-0.187,1.027,39.672,-56.087,-31.027
49429640,-0.013,-0.177,1.045,57.662,-45.027,-14.175
49429650,-0.035,-0.138,1.053,69.702,-33.757,0.49
49429660,-0.069,-0.091,1.092,74.2,-22.067,10.727
49429670,-0.075,-0.057,1.093,74.27,-10.937,16.537
49429680,-0.063,-0.038,1.063,75.022,-1.225,17.517
49429690,-0.063,0,1.043,76.387,6.02,16.432
49429700,-0.088,0.049,1.038,75.635,10.552,16.852
49429710,-0.091,0.096,1.008,69.317,10.92,17.99
49429720,-0.074,0.126,0.973,63.105,10.045,18.917
49429730,-0.062,0.17,0.956,57.61,7.735,20.912
49429740,-0.07,0.202,0.945,50.68,4.567,24.342
49429750,-0.067,0.208,0.928,42.14,0.98,26.302
49429760,-0.043,0.21,0.909,32.41,-1.452,24.587
49429760,-0.021,0.222,0.897,21.21,-2.275,19.285
49429780,0.003,0.232,0.897,8.172,-0.735,12.652
49429780,0.026,0.229,0.917,-6.527,1.767,7.332
49429800,0.037,0.196,0.887,-23.292,4.707,4.2
49429800,0.071,0.152,0.893,-33.74,10.115,0.402
49429820,0.086,0.114,0.877,-42.507,17.5,0.087
49429820,0.059,0.085,0.878,-45.797,24.885,1.382
49429830,0.021,0.069,0.89,-45.675,29.697,4.252
49429840,-0.025,0.053,0.912,-45.36,31.097,7.577
49429850,-0.072,0.029,0.936,-44.73,28.367,8.207
49429860,-0.109,0.007,0.956,-43.715,22.837,6.02
49429870,-0.124,-0.012,0.973,-44.152,15.015,1.767
49429880,-0.111,-0.02,0.983,-45.43,7.262,-4.742
49429890,-0.11,-0.039,0.992,-43.767,0,-10.5
49429900,-0.101,-0.049,1.013,-39.2,-4.707,-12.372
49429910,-0.085,-0.046,1.027,-35,-7.455,-10.745
49429920,-0.081,-0.054,1.05,-29.785,-6.912,-7.822
49429930,-0.051,-0.078,1.075,-23.187,-2.975,-5.495
49429940,-0.052,-0.087,1.064,-11.777,5.985,-3.675
49429950,-0.139,-0.045,1.105,0.91,10.85,-4.095
49429960,-0.199,0.003,1.102,6.947,10.097,-5.495
49429970,-0.189,0.005,1.096,12.915,5.32,-3.955
49429980,-0.178,0.023,1.09,17.255,1.522,1.767
49429990,-0.169,0.037,1.066,23.117,-0.087,7
49430000,-0.164,0.031,1.037,29.557,1.33,13.545
49430010,-0.185,0.019,1.024,34.212,3.71,21.157
49430020,-0.236,0.03,1.008,38.92,5.18,26.53
49430030,-0.263,0.06,1.006,44.467,2.782,30.362
49430040,-0.273,0.1,1.003,45.447,-2.502,34.02
49430050,-0.267,0.142,0.994,42.07,-10.342,34.615
49430060,-0.227,0.184,0.979,34.23,-15.837,36.785
49430070,-0.171,0.212,0.958,22.557,-18.707,41.457
49430080,-0.131,0.226,0.944,9.607,-16.835,47.18
49430090,-0.105,0.197,0.915,-3.71,-11.602,54.39
49430100,-0.074,0.148,0.884,-14.472,-3.15,59.692
49430110,-0.03,0.137,0.883,-21.542,5.74,63.822
49430120,-0.059,0.111,0.888,-27.055,13.737,72.222
49430130,-0.089,0.099,0.902,-32.777,17.727,81.235
49430140,-0.114,0.071,0.905,-37.747,17.832,87.762
49430150,-0.112,0.073,0.921,-41.772,16.17,89.635
49430160,-0.095,0.078,0.937,-45.797,13.685,91.105
49430160,-0.087,0.059,0.939,-49.612,10.307,91.192
49430170,-0.057,0.028,0.941,-53.9,6.947,88.55
49430180,-0.035,0,0.949,-55.947,4.13,84.245
49430190,-0.008,-0.015,0.958,-55.912,1.54,79.047
49430200,0.008,-0.012,0.976,-53.392,-1.4,73.692
49430210,0.028,-0.028,0.992,-50.627,-4.69,68.495
49430220,0.063,-0.031,0.999,-48.685,-6.457,62.877
49430230,0.079,-0.031,1.001,-46.305,-7.367,56.577
49430240,0.103,-0.037,1.001,-44.87,-7,51.555
49430250,0.119,-0.044,0.99,-43.627,-5.915,47.932
49430260,0.108,-0.053,0.991,-43.75,-4.252,43.872
49430270,0.093,-0.062,0.989,-44.275,-3.412,37.31
49430280,0.099,-0.071,0.985,-46.042,-2.555,32.077
49430290,0.105,-0.093,0.976,-46.497,-2.065,27.615
49430300,0.084,-0.126,0.947,-45.972,0.402,25.742
49430310,0.09,-0.14,0.943,-41.615,4.095,21.612
49430320,0.075,-0.146,0.938,-37.047,10.045,22.295
49430330,0.052,-0.139,0.935,-33.145,15.452,23.03
49430340,-0.004,-0.196,0.902,-27.072,19.6,21.945
49430350,0.025,-0.128,0.967,-18.9,24.29,16.765
49430360,-0.048,-0.129,0.945,-23.24,25.585,27.02
49430370,-0.095,-0.187,0.94,-19.512,21.91,30.45
49430380,-0.05,-0.195,0.944,-10.605,17.692,25.725
49430390,-0.058,-0.168,0.942,-8.54,16.642,24.57
49430400,-0.118,-0.173,0.953,-7.525,14.525,29.452
49430410,-0.135,-0.184,0.961,-3.885,8.855,28.927
49430420,-0.141,-0.171,0.97,-1.032,3.797,28.647
49430430,-0.145,-0.141,0.988,-0.35,-0.367,28.822
49430440,-0.14,-0.122,0.994,-1.767,-2.852,28.857
49430450,-0.145,-0.136,0.975,-3.622,-3.745,29.592
