#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
39137010,-0.267,-1.498,1.722,404.705,-101.01,-119.805,
39137020,1.443,1.989,0.761,568.54,-4.742,70.542,
39137030,0.889,0.861,1.778,485.31,95.742,-56.227,
39137040,-1.764,1.72,-0.856,172.987,109.882,-99.522,
39137050,0.046,-0.122,1.234,-38.202,-14.227,44.467,
39137060,-0.701,-0.28,1.151,-92.732,-83.667,5.53,
39137070,0.536,0.136,1.03,-42.087,-88.55,55.702,
39137080,0.4,-0.221,1.035,-32.112,-66.29,33.512,
39137090,0.175,0.012,1.065,-38.99,-36.487,28.052,
39137100,0.229,-0.04,0.993,-11.497,-22.085,22.225,
39137110,0.155,-0.038,1.036,-4.935,-8.977,13.685,
39137120,0.199,0.209,0.982,12.915,1.172,7.927,
39137130,0.103,0.217,0.962,14.017,9.765,6.335,
39137140,0.104,0.178,1.009,5.495,16.222,4.112,
39137150,-0.003,0.261,0.977,5.442,22.137,4.847,
39137160,-0.074,0.321,0.984,-7.297,23.257,1.697,
39137170,-0.092,0.316,1.009,-24.272,21,-1.872,
39137180,0.013,0.301,1.047,-40.617,20.212,-4.952,
39137190,0.067,0.269,1.091,-53.287,25.62,-4.795,
39137200,0.101,0.223,1.119,-67.567,36.96,2.03,
39137210,0.192,-0.085,1.287,-89.985,42.087,19.565,
39137220,0.129,0.403,1.195,-132.86,54.162,66.237,
39137230,-0.075,0.383,1.17,-164.832,40.652,117.565,
39137240,-0.157,0.353,1.16,-227.465,29.662,156.835,
39137250,0.111,0.204,1.196,-259.665,13.842,191.345,
39137260,0.311,-0.187,1.358,-280.192,-6.702,225.785,
39137260,0.627,-0.61,1.631,-302.137,-32.375,257.267,
39137280,1.175,-0.792,1.583,-285.127,-33.827,297.535,
39137280,1.62,-0.313,1.359,-220.797,-17.92,333.357,
39137300,1.171,0.713,0.714,-142.502,3.85,370.86,
39137300,0.748,0.953,0.466,-53.165,-11.217,366.502,
39137320,1.045,1.236,0.229,-10.57,-35.122,343.892,
39137320,1.822,1.589,0.725,34.72,-47.302,334.355,
39137330,1.998,0.392,0.042,88.725,-81.585,242.06,
39137340,0.733,0.941,-0.825,182.805,-145.81,43.697,
39137350,-1.062,1.263,-1.428,211.277,-238.122,-130.917,
39137360,-0.934,0.229,-0.296,96.915,-236.425,-156.467,
39137370,-1.878,-0.969,1.751,-52.01,64.155,-123.217,
39137380,-0.293,-1.998,1.998,187.775,38.237,-169.102,
39137390,-0.286,0.427,0.912,488.355,161.227,149.782,
39137400,-0.278,1.612,0.162,564.357,58.712,-29.872,
39137410,0.214,0.224,1.184,240.712,51.03,-73.517,
39137420,-0.802,0.628,0.286,12.46,39.83,-58.17,
39137430,-1.494,0.92,0.958,-69.877,-41.177,-0.927,
39137440,0.032,-0.088,1.149,-45.727,-111.195,-3.29,
39137450,0.211,-0.065,1.012,-53.952,-94.272,15.995,
39137460,0.341,-0.172,1.07,-71.277,-65.065,13.265,
39137470,0.375,-0.097,1.02,-63.542,-36.925,21.962,
39137480,0.374,-0.271,0.999,-34.772,-15.592,23.152,
39137490,0.28,0.002,1.011,-5.215,4.112,18.147,
39137500,0.121,0.1,0.98,16.607,17.762,18.287,
39137510,0.01,0.203,1.021,19.372,24.657,14.752,
39137520,-0.038,0.284,0.983,18.305,24.867,11.462,
39137530,-0.087,0.217,0.987,4.97,23.572,8.19,
39137540,-0.119,0.259,1.001,-5.775,21.717,6.527,
39137550,-0.113,0.307,0.982,-14.245,17.797,5.267,
39137560,-0.058,0.292,1.029,-30.992,15.47,4.445,
39137570,-0.124,0.358,1.052,-42.84,15.015,6.142,
39137580,-0.087,0.358,1.092,-59.605,12.775,7.42,
39137590,0.083,0.156,1.134,-82.6,11.672,10.395,
39137600,0.403,0.114,1.268,-117.302,25.147,24.867,
39137610,0.033,0.299,1.109,-143.5,41.16,49.7,
39137620,-0.051,0.114,1.092,-171.622,41.895,65.94,
39137630,0.039,0.054,1.13,-198.642,55.685,73.15,
39137640,0.159,-0.193,1.158,-205.73,68.985,84.665,
39137650,0.204,-0.428,1.103,-204.155,83.02,102.41,
39137660,0.244,-0.583,1.027,-183.12,81.077,115.377,
39137670,-0.081,-0.629,1.024,-150.482,72.87,116.777,
39137670,-0.068,-0.686,0.973,-106.837,65.747,114.187,
39137690,0.104,-0.83,0.509,-23.94,67.655,114.24,
39137690,0.362,-0.455,-0.133,71.802,76.317,111.107,
39137710,0.515,0.09,-1.132,161.105,64.102,102.112,
39137710,-0.519,1.075,-0.004,203.017,2.38,87.237,
39137730,-1.998,0.578,0.042,160.755,-146.79,-29.085,
39137730,-1.736,-1.02,0.992,224.315,-208.442,-61.757,
39137750,-0.127,-0.734,1.631,313.075,-251.702,17.15,
39137750,1.873,-0.558,1.998,362.355,-161.455,65.537,
39137760,0.153,1.412,0.521,316.995,52.255,-58.59,
39137770,-1.789,1.289,-0.274,186.567,80.465,-10.307,
39137780,-1.221,0.687,1.04,-94.885,-2.607,36.855,
39137790,-0.483,-0.029,1.061,-53.252,-91.997,14.437,
39137800,0.446,-0.007,1.028,-46.515,-97.195,36.382,
39137810,0.37,-0.082,1.038,-42.997,-70.402,31.237,
39137820,0.288,-0.072,1.044,-41.772,-41.545,37.397,
39137830,0.095,0.042,1.028,-26.022,-24.78,30.397,
39137840,0.136,0.067,0.997,-9.1,-18.427,24.57,
39137850,0.174,0.017,1.001,-0.7,-9.765,19.197,
39137860,0.098,0.159,0.987,7.875,0.507,15.68,
39137870,0.017,0.221,0.975,12.425,6.965,15.067,
39137880,-0.13,0.317,0.963,6.86,8.242,14.385,
39137890,-0.229,0.294,0.956,-4.585,1.242,12.565,
39137900,-0.069,0.198,0.99,-16.24,-9.695,6.842,
39137910,0.004,0.189,0.983,-16.957,-14.612,1.977,
39137920,0.137,0.125,0.994,-17.202,-12.985,0.21,
39137930,0.167,0.155,0.988,-15.575,-5.18,-0.577,
39137940,0.155,0.151,0.992,-15.155,5.215,-0.227,
39137950,0.135,0.124,1.001,-16.765,15.907,0.875,
39137960,-0.026,0.174,1.015,-17.71,25.392,2.432,
39137970,-0.115,0.236,1.014,-21.612,26.04,3.377,
39137980,-0.11,0.265,1.017,-31.272,22.155,3.815,
39137990,-0.097,0.234,1.024,-44.537,17.097,3.36,
39138000,-0.093,0.202,1.031,-58.082,13.037,2.047,
39138010,-0.079,0.194,1.022,-69.405,9.047,1.015,
39138010,-0.06,0.152,1.003,-79.432,7.21,2.275,
39138030,-0.072,0.124,0.97,-86.712,4.97,6.282,
39138030,-0.255,0.065,0.946,-88.235,-1.032,13.667,
39138050,0.056,-0.008,0.98,-86.765,-22.347,21.787,
39138050,-0.134,0.047,0.927,-79.012,-14.945,32.427,
39138070,-0.099,0.03,0.929,-66.71,-20.562,29.995,
39138070,0.011,-0.014,0.93,-60.305,-19.6,29.855,
39138080,0.048,-0.043,0.944,-48.317,-16.94,27.86,
39138090,0.081,-0.033,0.952,-37.432,-12.372,25.445,
39138100,0.095,-0.034,0.97,-29.942,-7.577,21.927,
39138110,0.049,-0.02,1.003,-25.392,-3.237,17.745,
39138120,0.008,0.042,1.072,-23.905,-0.052,14.49,
39138130,-0.076,0.149,1.116,-30.73,1.102,9.957,
39138140,-0.17,0.223,1.125,-48.3,-1.19,1.592,
39138150,-0.198,0.252,1.091,-73.01,-7.752,-6.667,
39138160,-0.19,0.179,1.074,-95.13,-15.995,-12.6,
39138170,-0.142,0.035,1.071,-115.675,-21.42,-19.897,
39138180,0.031,0.071,1.209,-136.185,-19.792,-26.74,
39138190,-0.111,0.202,1.235,-163.677,-18.882,-27.737,
39138200,-0.238,0.19,1.229,-200.69,-34.79,-24.71,
39138210,-0.087,-0.001,1.237,-242.655,-54.495,-13.09,
39138220,0.053,-0.18,1.334,-269.36,-61.11,-1.382,
39138230,-0.13,-0.43,1.388,-279.965,-79.432,4.182,
39138240,-0.104,-1.096,1.223,-275.747,-87.465,5.67,
39138250,0.37,-1.572,1.375,-188.387,-57.347,-3.412,
39138260,0.225,-1.784,0.957,-51.485,-15.4,-38.587,
39138270,-0.573,-1.266,0.535,5.355,32.742,-32.252,
39138280,-0.775,-1.146,0.187,56.665,33.53,-35.717,
39138290,-0.586,-0.885,0.119,67.55,25.392,-8.697,
39138300,-0.139,-0.842,-0.145,85.557,6.387,12.582,
39138310,0.147,-0.462,-0.259,111.807,11.532,21.122,
39138320,-0.01,-0.046,-0.245,107.047,18.935,22.207,
39138330,-0.072,0.077,0.002,71.61,18.252,18.987,
39138340,0.071,-0.067,0.355,11.847,28.262,21.962,
39138350,0.102,-0.197,0.673,-37.502,42,16.502,
39138360,-0.038,-0.294,0.857,-47.057,45.15,-7.91,
39138370,-0.215,-0.341,0.938,-31.99,39.217,-29.767,
39138380,-0.314,-0.41,1.03,-9.625,31.115,-39.41,
39138390,-0.26,-0.588,1.121,4.655,20.79,-38.552,
39138400,0.007,-0.723,1.082,25.357,19.337,-40.547,
39138410,0.181,-0.562,1.169,45.272,31.132,-49.332,
